content_id,title,type,topic_category,channel,ctr,engagement_rate,reach,headline_length,has_emoji,posting_hour
D001,[검증용] 카드뉴스-생산성-인스타그램-18시 샘플 1,카드뉴스,생산성,인스타그램,4.9,7.1,39741,14,True,18
D002,[검증용] 카드뉴스-후기-인스타그램-8시 샘플 2,카드뉴스,후기,인스타그램,3.9,6.9,40781,16,True,8
D003,[검증용] 카드뉴스-후기-인스타그램-12시 샘플 3,카드뉴스,후기,인스타그램,4.3,6.8,14463,18,True,12
D004,[검증용] 카드뉴스-트렌드-인스타그램-18시 샘플 4,카드뉴스,트렌드,인스타그램,5.1,8.5,27526,20,True,18
D005,[검증용] 카드뉴스-트렌드-블로그-8시 샘플 5,카드뉴스,트렌드,블로그,3.3,6.1,9164,27,False,8
D006,[검증용] 카드뉴스-트렌드-인스타그램-12시 샘플 6,카드뉴스,트렌드,인스타그램,3.1,4.2,9229,11,False,12
D007,[검증용] 카드뉴스-생산성-블로그-20시 샘플 7,카드뉴스,생산성,블로그,5.1,7.9,27283,30,True,20
D008,[검증용] 카드뉴스-트렌드-인스타그램-8시 샘플 8,카드뉴스,트렌드,인스타그램,3.7,5.8,34294,15,True,8
D009,[검증용] 카드뉴스-커리어-인스타그램-18시 샘플 9,카드뉴스,커리어,인스타그램,4.0,6.5,24673,11,False,18
D010,[검증용] 카드뉴스-생산성-인스타그램-12시 샘플 10,카드뉴스,생산성,인스타그램,3.6,5.5,46954,28,False,12
D011,[검증용] 카드뉴스-후기-인스타그램-12시 샘플 11,카드뉴스,후기,인스타그램,4.3,6.3,42311,17,True,12
D012,[검증용] 카드뉴스-후기-인스타그램-18시 샘플 12,카드뉴스,후기,인스타그램,4.8,7.7,7087,14,True,18
D013,[검증용] 카드뉴스-커리어-블로그-12시 샘플 13,카드뉴스,커리어,블로그,3.0,4.5,43052,23,False,12
D014,[검증용] 카드뉴스-트렌드-블로그-8시 샘플 14,카드뉴스,트렌드,블로그,2.6,3.6,21486,13,False,8
D015,[검증용] 카드뉴스-트렌드-유튜브-8시 샘플 15,카드뉴스,트렌드,유튜브,3.4,5.8,21261,15,True,8
D016,[검증용] 카드뉴스-커리어-블로그-8시 샘플 16,카드뉴스,커리어,블로그,3.0,4.3,17035,19,False,8
D017,[검증용] 숏폼-커리어-유튜브-8시 샘플 17,숏폼,커리어,유튜브,5.3,8.6,24153,25,True,8
D018,[검증용] 숏폼-커리어-유튜브-8시 샘플 18,숏폼,커리어,유튜브,4.9,6.6,38911,25,True,8
D019,[검증용] 숏폼-커리어-인스타그램-20시 샘플 19,숏폼,커리어,인스타그램,4.7,8.5,31730,15,False,20
D020,[검증용] 숏폼-커리어-블로그-18시 샘플 20,숏폼,커리어,블로그,5.0,7.6,37919,31,True,18
D021,[검증용] 숏폼-커리어-유튜브-12시 샘플 21,숏폼,커리어,유튜브,4.8,7.5,18432,10,True,12
D022,[검증용] 숏폼-생산성-유튜브-12시 샘플 22,숏폼,생산성,유튜브,5.1,8.0,19597,11,True,12
D023,[검증용] 숏폼-후기-유튜브-12시 샘플 23,숏폼,후기,유튜브,4.8,7.5,34996,28,True,12
D024,[검증용] 숏폼-커리어-인스타그램-8시 샘플 24,숏폼,커리어,인스타그램,4.2,7.1,7550,23,True,8
D025,[검증용] 숏폼-생산성-인스타그램-8시 샘플 25,숏폼,생산성,인스타그램,4.4,6.8,16556,20,True,8
D026,[검증용] 숏폼-후기-유튜브-12시 샘플 26,숏폼,후기,유튜브,4.4,7.3,8940,18,True,12
D027,[검증용] 숏폼-생산성-유튜브-8시 샘플 27,숏폼,생산성,유튜브,4.1,5.4,19491,27,False,8
D028,[검증용] 숏폼-후기-유튜브-20시 샘플 28,숏폼,후기,유튜브,6.0,9.4,4141,22,True,20
D029,[검증용] 숏폼-트렌드-블로그-20시 샘플 29,숏폼,트렌드,블로그,6.4,9.8,40422,32,True,20
D030,[검증용] 숏폼-후기-인스타그램-12시 샘플 30,숏폼,후기,인스타그램,5.2,8.2,39533,16,True,12
D031,[검증용] 숏폼-트렌드-유튜브-8시 샘플 31,숏폼,트렌드,유튜브,4.0,6.4,14317,25,True,8
D032,[검증용] 숏폼-생산성-유튜브-12시 샘플 32,숏폼,생산성,유튜브,4.9,7.5,11856,12,True,12
D033,[검증용] 블로그-커리어-유튜브-8시 샘플 33,블로그,커리어,유튜브,3.2,4.6,24733,23,True,8
D034,[검증용] 블로그-커리어-유튜브-18시 샘플 34,블로그,커리어,유튜브,4.7,8.0,33964,22,True,18
D035,[검증용] 블로그-생산성-블로그-8시 샘플 35,블로그,생산성,블로그,3.1,5.0,17969,28,True,8
D036,[검증용] 블로그-커리어-블로그-18시 샘플 36,블로그,커리어,블로그,3.0,5.0,39600,17,False,18
D037,[검증용] 블로그-생산성-블로그-18시 샘플 37,블로그,생산성,블로그,3.2,5.0,11564,13,False,18
D038,[검증용] 블로그-커리어-블로그-18시 샘플 38,블로그,커리어,블로그,4.0,6.1,45565,16,True,18
D039,[검증용] 블로그-후기-블로그-18시 샘플 39,블로그,후기,블로그,3.4,5.7,22132,11,False,18
D040,[검증용] 블로그-트렌드-블로그-12시 샘플 40,블로그,트렌드,블로그,3.6,6.2,32028,18,True,12
D041,[검증용] 블로그-생산성-블로그-8시 샘플 41,블로그,생산성,블로그,2.4,3.5,28196,32,False,8
D042,[검증용] 블로그-커리어-블로그-20시 샘플 42,블로그,커리어,블로그,3.8,7.0,6614,19,True,20
D043,[검증용] 블로그-커리어-블로그-12시 샘플 43,블로그,커리어,블로그,2.6,3.1,30632,21,False,12
D044,[검증용] 블로그-커리어-인스타그램-12시 샘플 44,블로그,커리어,인스타그램,2.7,4.2,25770,15,False,12
D045,[검증용] 블로그-후기-블로그-12시 샘플 45,블로그,후기,블로그,3.9,6.9,34847,32,True,12
D046,[검증용] 블로그-후기-블로그-18시 샘플 46,블로그,후기,블로그,4.1,7.3,30113,17,True,18
D047,[검증용] 블로그-생산성-블로그-18시 샘플 47,블로그,생산성,블로그,3.3,6.1,39141,26,True,18
D048,[검증용] 블로그-생산성-블로그-8시 샘플 48,블로그,생산성,블로그,2.4,5.0,21397,18,False,8
D049,[검증용] 인포그래픽-후기-인스타그램-18시 샘플 49,인포그래픽,후기,인스타그램,2.6,4.7,11578,20,False,18
D050,[검증용] 인포그래픽-커리어-인스타그램-18시 샘플 50,인포그래픽,커리어,인스타그램,5.0,,39287,23,True,18
D003,[검증용] 카드뉴스-후기-인스타그램-12시 샘플 3,카드뉴스,후기,인스타그램,4.3,6.8,,18,True,12
